,action_detail
view_search_results,128
unknow_action_detail,127
p3,126
-unknown-,125
wishlist_content_update,124
change_trip_characteristics,123
similar_listings,122
user_profile,121
update_listing,120
user_social_connections,119
header_userpic,118
listing_reviews,117
message_thread,116
user_wishlists,115
dashboard,114
contact_host,113
edit_profile,112
message_post,111
change_contact_host_dates,110
confirm_email_link,109
unavailable_dates,108
create_user,107
p5,106
user_profile_content_update,105
login,104
user_listings,103
your_trips,102
profile_verifications,101
your_listings,100
create_phone_numbers,99
update_listing_description,98
p1,97
user_reviews,96
manage_listing,95
notifications,94
update_user_profile,93
reservations,92
update_user,91
cancellation_policies,90
account_notification_settings,89
payment_instruments,88
listing_recommendations,87
signup,86
message_inbox,85
pending,84
list_your_space,83
oauth_response,82
wishlist,81
profile_references,80
apply_coupon,79
post_checkout_action,78
send_message,77
oauth_login,76
p4,75
create_listing,74
book_it,73
request_new_confirm_email,72
message_to_host_focus,71
signup_login_page,70
trip_availability,69
listing_reviews_page,68
listing_descriptions,67
at_checkpoint,66
message_to_host_change,65
login_page,64
account_payout_preferences,63
user_tax_forms,62
login_modal,61
coupon_field_focus,60
instant_book,59
view_listing,58
apply_coupon_click,57
apply_coupon_error,56
lookup_message_thread,55
host_home,54
terms_and_privacy,53
delete_phone_numbers,52
signup_modal,51
guest_itinerary,50
request_to_book,49
popular_wishlists,48
account_transaction_history,47
read_policy_click,46
cancellation_policy_click,45
change_or_alter,44
wishlist_note,43
account_privacy_settings,42
translate_listing_reviews,41
friends_wishlists,40
coupon_code_click,39
set_password,38
set_password_page,37
your_reservations,36
phone_verification_success,35
admin_templates,34
forgot_password,33
guest_cancellation,32
toggle_archived_thread,31
email_wishlist_button,30
user_languages,29
email_wishlist,28
previous_trips,27
host_guarantee,26
guest_receipt,25
translations,24
user_friend_recommendations,23
airbnb_picks_wishlists,22
confirm_email,21
toggle_starred_thread,20
alteration_field,19
p4_refund_policy_terms,18
change_password,17
place_worth,16
delete_listing,15
complete_booking,14
calculate_worth,13
p4_terms,12
alteration_request,11
remove_dashboard_alert,10
change_availability,9
apply_coupon_click_success,8
homepage,7
create_alteration_request,6
respond_to_alteration_request,5
delete_listing_description,4
tos_2014,3
special_offer_field,2
host_respond,1
booking,0
